symbol,date,open,high,low,close,volume,adjusted
AAPL,1999-07-12,0.495536,0.496652,0.483817,0.486607,303912000,0.4172
AAPL,1999-07-13,0.477679,0.483817,0.472098,0.479353,283259200,0.410981
AAPL,1999-07-14,0.486607,0.50558,0.486607,0.499442,624556800,0.428204
AAPL,1999-07-15,0.498884,0.499442,0.458147,0.475446,1691804800,0.407631
AAPL,1999-07-16,0.478795,0.486607,0.473214,0.473772,411499200,0.406196
AAPL,1999-07-19,0.481585,0.498326,0.467076,0.486049,561299200,0.416721
AAPL,1999-07-20,0.487165,0.495536,0.470982,0.472098,442075200,0.40476
AAPL,1999-07-21,0.482701,0.494978,0.472098,0.482701,718166400,0.413851
AAPL,1999-07-22,0.478795,0.481027,0.456473,0.467634,406728000,0.400933
AAPL,1999-07-23,0.47154,0.479911,0.470424,0.476004,229051200,0.408109
AAPL,1999-07-26,0.472098,0.473214,0.454241,0.454799,351187200,0.389929
AAPL,1999-07-27,0.469866,0.481585,0.46875,0.479353,395908800,0.410981
AAPL,1999-07-28,0.481027,0.49442,0.473214,0.485491,328910400,0.416243
AAPL,1999-07-29,0.476563,0.493304,0.47433,0.481027,275475200,0.412416
AAPL,1999-07-30,0.486607,0.501116,0.486607,0.49721,383140800,0.426291
AAPL,1999-08-02,0.496652,0.517857,0.495536,0.497768,362443200,0.426769
AAPL,1999-08-03,0.506696,0.512835,0.478795,0.493304,368379200,0.422942
AAPL,1999-08-04,0.492746,0.498884,0.475446,0.480469,371425600,0.411937
AAPL,1999-08-05,0.477679,0.489955,0.465402,0.488839,322537600,0.419113
AAPL,1999-08-06,0.482701,0.493862,0.477679,0.483259,435556800,0.414329
AAPL,1999-08-09,0.485212,0.492746,0.484375,0.486049,233284800,0.416721
AAPL,1999-08-10,0.482143,0.5,0.478795,0.49442,416225600,0.423898
AAPL,1999-08-11,0.5,0.533482,0.499442,0.532924,850337600,0.456911
AAPL,1999-08-12,0.527344,0.547991,0.523438,0.535714,666108800,0.459302
AAPL,1999-08-13,0.541295,0.553571,0.534598,0.536272,298435200,0.459781
AAPL,1999-08-16,0.53404,0.541853,0.53125,0.540179,276931200,0.463131
AAPL,1999-08-17,0.538504,0.539063,0.526228,0.538504,320936000,0.461695
AAPL,1999-08-18,0.536272,0.553571,0.532366,0.53683,468574400,0.460259
AAPL,1999-08-19,0.53404,0.540179,0.522879,0.524554,550020800,0.449734
AAPL,1999-08-20,0.529018,0.530134,0.519531,0.52846,327947200,0.453083
AAPL,1999-08-23,0.530134,0.547991,0.529576,0.542411,355566400,0.465044
AAPL,1999-08-24,0.539063,0.542411,0.535156,0.539063,502264000,0.462174
AAPL,1999-08-25,0.541853,0.549107,0.53683,0.547991,295164800,0.469828
AAPL,1999-08-26,0.545759,0.563616,0.545759,0.554688,404488000,0.47557
AAPL,1999-08-27,0.560268,0.580357,0.55971,0.578125,446835200,0.495664
AAPL,1999-08-30,0.580357,0.580357,0.553571,0.554129,336593600,0.475091
AAPL,1999-08-31,0.558873,0.58817,0.554129,0.582589,634547200,0.499491
AAPL,1999-09-01,0.598214,0.614397,0.589286,0.612723,788625600,0.525327
AAPL,1999-09-02,0.603795,0.637835,0.597098,0.630022,895148800,0.540159
AAPL,1999-09-03,0.642299,0.671875,0.629464,0.65625,1635267200,0.562646
AAPL,1999-09-07,0.658482,0.695871,0.65625,0.68192,984793600,0.584654
AAPL,1999-09-08,0.680246,0.693638,0.665179,0.665179,762204800,0.570301
AAPL,1999-09-09,0.674107,0.678013,0.659598,0.674665,534083200,0.578434
AAPL,1999-09-10,0.678571,0.693638,0.666853,0.691406,458763200,0.592787
AAPL,1999-09-13,0.688058,0.688058,0.667969,0.669643,252000000,0.574128
AAPL,1999-09-14,0.667132,0.700893,0.666853,0.694754,388292800,0.595658
AAPL,1999-09-15,0.704241,0.706473,0.671875,0.672991,359576000,0.576999
AAPL,1999-09-16,0.679129,0.696987,0.659598,0.685826,441884800,0.588003
AAPL,1999-09-17,0.69029,0.694196,0.680804,0.686942,277278400,0.58896
AAPL,1999-09-20,0.6875,0.715402,0.686384,0.705915,456668800,0.605227
AAPL,1999-09-21,0.65346,0.654018,0.616071,0.618304,3357558400,0.530112
AAPL,1999-09-22,0.622768,0.639509,0.616211,0.62779,1123169600,0.538245
AAPL,1999-09-23,0.635045,0.636161,0.5625,0.56529,1143755200,0.48466
AAPL,1999-09-24,0.565848,0.598354,0.5625,0.579799,1179875200,0.4971
AAPL,1999-09-27,0.592634,0.595982,0.546317,0.547433,948192000,0.46935
AAPL,1999-09-28,0.549107,0.553571,0.512835,0.532366,1414963200,0.456432
AAPL,1999-09-29,0.537946,0.546875,0.517857,0.527344,657283200,0.452126
AAPL,1999-09-30,0.531808,0.573103,0.529018,0.56529,908084800,0.48466
AAPL,1999-10-01,0.554688,0.557478,0.53125,0.55106,614790400,0.47246
