"County","State","Population"
"Autauga County","Alabama",56145
"Baldwin County","Alabama",229287
"Barbour County","Alabama",24589
"Bibb County","Alabama",22136
"Blount County","Alabama",57879
"Bullock County","Alabama",9976
"Butler County","Alabama",19504
"Calhoun County","Alabama",113469
"Chambers County","Alabama",32865
"Cherokee County","Alabama",26294
"Chilton County","Alabama",44397
"Choctaw County","Alabama",12418
"Clarke County","Alabama",23291
"Clay County","Alabama",13112
"Cleburne County","Alabama",14967
"Coffee County","Alabama",53230
"Colbert County","Alabama",55411
"Conecuh County","Alabama",11851
"Coosa County","Alabama",10650
"Covington County","Alabama",36930
"Crenshaw County","Alabama",13681
"Cullman County","Alabama",84515
"Dale County","Alabama",48959
"Dallas County","Alabama",36098
"DeKalb County","Alabama",71658
"Elmore County","Alabama",82158
"Escambia County","Alabama",36281
"Etowah County","Alabama",102371
"Fayette County","Alabama",16241
"Franklin County","Alabama",31507
"Geneva County","Alabama",26411
"Greene County","Alabama",7990
"Hale County","Alabama",14670
"Henry County","Alabama",17223
"Houston County","Alabama",106580
"Jackson County","Alabama",51582
"Jefferson County","Alabama",655342
"Lamar County","Alabama",13764
"Lauderdale County","Alabama",93368
"Lawrence County","Alabama",32857
"Lee County","Alabama",166831
"Limestone County","Alabama",102228
"Lowndes County","Alabama",9641
"Macon County","Alabama",17895
"Madison County","Alabama",379453
"Marengo County","Alabama",18733
"Marion County","Alabama",29703
"Marshall County","Alabama",96990
"Mobile County","Alabama",412716
"Monroe County","Alabama",20459
"Montgomery County","Alabama",224639
"Morgan County","Alabama",119883
"Perry County","Alabama",8687
"Pickens County","Alabama",19793
"Pike County","Alabama",32966
"Randolph County","Alabama",22920
"Russell County","Alabama",58237
"St. Clair County","Alabama",90739
"Shelby County","Alabama",221428
"Sumter County","Alabama",12225
"Talladega County","Alabama",79985
"Tallapoosa County","Alabama",40133
"Tuscaloosa County","Alabama",210758
"Walker County","Alabama",63143
"Washington County","Alabama",15976
"Wilcox County","Alabama",10206
"Winston County","Alabama",23508
"Aleutians East Borough","Alaska",3401
"Aleutians West Census Area","Alaska",5680
"Anchorage Municipality","Alaska",287095
"Bethel Census Area","Alaska",18437
"Bristol Bay Borough","Alaska",788
"Chugach Census Area","Alaska",6427
"Copper River Census Area","Alaska",2919
"Denali Borough","Alaska",2081
"Dillingham Census Area","Alaska",4833
"Fairbanks North Star Borough","Alaska",95651
"Haines Borough","Alaska",2614
"Hoonah-Angoon Census Area","Alaska",2141
"Juneau City and Borough","Alaska",31849
"Kenai Peninsula Borough","Alaska",59414
"Ketchikan Gateway Borough","Alaska",13747
"Kodiak Island Borough","Alaska",12992
"Kusilvak Census Area","Alaska",8328
"Lake and Peninsula Borough","Alaska",1493
"Matanuska-Susitna Borough","Alaska",110213
"Nome Census Area","Alaska",9909
"North Slope Borough","Alaska",9294
"Northwest Arctic Borough","Alaska",7644
"Petersburg Borough","Alaska",3296
"Prince of Wales-Hyder Census Area","Alaska",6147
"Sitka City and Borough","Alaska",8405
"Skagway Municipality","Alaska",1179
"Southeast Fairbanks Census Area","Alaska",6957
"Wrangell City and Borough","Alaska",2510
"Yakutat City and Borough","Alaska",637
"Yukon-Koyukuk Census Area","Alaska",5077
"Apache County","Arizona",71875
"Cochise County","Arizona",127450
"Coconino County","Arizona",142481
"Gila County","Arizona",54303
"Graham County","Arizona",39211
"Greenlee County","Arizona",9341
"La Paz County","Arizona",21480
"Maricopa County","Arizona",4579081
"Mohave County","Arizona",217206
"Navajo County","Arizona",112112
"Pima County","Arizona",1061175
"Pinal County","Arizona",480828
"Santa Cruz County","Arizona",46808
"Yavapai County","Arizona",240226
"Yuma County","Arizona",217824
"Arkansas County","Arkansas",17383
"Ashley County","Arkansas",19339
"Baxter County","Arkansas",42242
"Benton County","Arkansas",288774
"Boone County","Arkansas",37625
"Bradley County","Arkansas",10639
"Calhoun County","Arkansas",5113
"Carroll County","Arkansas",28276
"Chicot County","Arkansas",9924
"Clark County","Arkansas",22103
"Clay County","Arkansas",14375
"Cleburne County","Arkansas",24935
"Cleveland County","Arkansas",7957
"Columbia County","Arkansas",23331
"Conway County","Arkansas",21037
"Craighead County","Arkansas",112245
"Crawford County","Arkansas",63409
"Crittenden County","Arkansas",47616
"Cross County","Arkansas",16142
"Dallas County","Arkansas",6802
"Desha County","Arkansas",11110
"Drew County","Arkansas",17977
"Faulkner County","Arkansas",126919
"Franklin County","Arkansas",17897
"Fulton County","Arkansas",12381
"Garland County","Arkansas",99789
"Grant County","Arkansas",18449
"Greene County","Arkansas",45597
"Hempstead County","Arkansas",21253
"Hot Spring County","Arkansas",33787
"Howard County","Arkansas",13109
"Independence County","Arkansas",37757
"Izard County","Arkansas",13613
"Jackson County","Arkansas",16636
"Jefferson County","Arkansas",65377
"Johnson County","Arkansas",26513
"Lafayette County","Arkansas",6596
"Lawrence County","Arkansas",16410
"Lee County","Arkansas",8513
"Lincoln County","Arkansas",12944
"Little River County","Arkansas",12180
"Logan County","Arkansas",21410
"Lonoke County","Arkansas",73921
"Madison County","Arkansas",16644
"Marion County","Arkansas",16790
"Miller County","Arkansas",43177
"Mississippi County","Arkansas",40066
"Monroe County","Arkansas",6584
"Montgomery County","Arkansas",9006
"Nevada County","Arkansas",8099
"Newton County","Arkansas",7602
"Ouachita County","Arkansas",23167
"Perry County","Arkansas",10327
"Phillips County","Arkansas",17299
"Pike County","Arkansas",10643
"Poinsett County","Arkansas",23283
"Polk County","Arkansas",19707
"Pope County","Arkansas",64334
"Prairie County","Arkansas",7966
"Pulaski County","Arkansas",392980
"Randolph County","Arkansas",18247
"St. Francis County","Arkansas",24682
"Saline County","Arkansas",123968
"Scott County","Arkansas",10164
"Searcy County","Arkansas",7842
"Sebastian County","Arkansas",127590
"Sevier County","Arkansas",16702
"Sharp County","Arkansas",17424
"Stone County","Arkansas",12674
"Union County","Arkansas",38219
"Van Buren County","Arkansas",16541
"Washington County","Arkansas",243216
"White County","Arkansas",78729
"Woodruff County","Arkansas",6264
"Yell County","Arkansas",21181
"Alameda County","California",1662323
"Alpine County","California",1119
"Amador County","California",40083
"Butte County","California",212744
"Calaveras County","California",46308
"Colusa County","California",21558
"Contra Costa County","California",1152333
"Del Norte County","California",27968
"El Dorado County","California",192925
"Fresno County","California",1000918
"Glenn County","California",28283
"Humboldt County","California",134977
"Imperial County","California",180267
"Inyo County","California",18046
"Kern County","California",901362
"Kings County","California",152692
"Lake County","California",64479
"Lassen County","California",30016
"Los Angeles County","California",9943046
"Madera County","California",157761
"Marin County","California",257332
"Mariposa County","California",17160
"Mendocino County","California",86061
"Merced County","California",279252
"Modoc County","California",8763
"Mono County","California",14534
"Monterey County","California",430906
"Napa County","California",135965
"Nevada County","California",99606
"Orange County","California",3166857
"Placer County","California",402950
"Plumas County","California",18967
"Riverside County","California",2489188
"Sacramento County","California",1559146
"San Benito County","California",64055
"San Bernardino County","California",2189183
"San Diego County","California",3332427
"San Francisco County","California",866606
"San Joaquin County","California",767967
"San Luis Obispo County","California",282249
"San Mateo County","California",758308
"Santa Barbara County","California",444766
"Santa Clara County","California",1907105
"Santa Cruz County","California",269925
"Shasta County","California",179027
"Sierra County","California",2920
"Siskiyou County","California",43245
"Solano County","California",446935
"Sonoma County","California",489819
"Stanislaus County","California",550081
"Sutter County","California",96385
"Tehama County","California",64494
"Trinity County","California",12216
"Tulare County","California",468680
"Tuolumne County","California",54515
"Ventura County","California",841387
"Yolo County","California",219728
"Yuba County","California",80160
"Adams County","Colorado",519883
"Alamosa County","Colorado",16180
"Arapahoe County","Colorado",657452
"Archuleta County","Colorado",14196
"Baca County","Colorado",3555
"Bent County","Colorado",5356
"Boulder County","Colorado",327171
"Broomfield County","Colorado",72236
"Chaffee County","Colorado",20661
"Cheyenne County","Colorado",1795
"Clear Creek County","Colorado",9586
"Conejos County","Colorado",8143
"Costilla County","Colorado",3921
"Crowley County","Colorado",5696
"Custer County","Colorado",5183
"Delta County","Colorado",31067
"Denver County","Colorado",735538
"Dolores County","Colorado",2096
"Douglas County","Colorado",360750
"Eagle County","Colorado",54929
"Elbert County","Colorado",27313
"El Paso County","Colorado",728310
"Fremont County","Colorado",47867
"Garfield County","Colorado",60366
"Gilpin County","Colorado",6235
"Grand County","Colorado",15794
"Gunnison County","Colorado",17593
"Hinsdale County","Colorado",808
"Huerfano County","Colorado",6883
"Jackson County","Colorado",1389
"Jefferson County","Colorado",583283
"Kiowa County","Colorado",1458
"Kit Carson County","Colorado",7121
"Lake County","Colorado",7987
"La Plata County","Colorado",56564
"Larimer County","Colorado",360428
"Las Animas County","Colorado",14420
"Lincoln County","Colorado",5680
"Logan County","Colorado",21974
"Mesa County","Colorado",155603
"Mineral County","Colorado",773
"Moffat County","Colorado",13144
"Montezuma County","Colorado",26408
"Montrose County","Colorado",43322
"Morgan County","Colorado",28941
"Otero County","Colorado",18201
"Ouray County","Colorado",5001
"Park County","Colorado",18955
"Phillips County","Colorado",4367
"Pitkin County","Colorado",17894
"Prowers County","Colorado",12106
"Pueblo County","Colorado",169823
"Rio Blanco County","Colorado",6342
"Rio Grande County","Colorado",11296
"Routt County","Colorado",25560
"Saguache County","Colorado",6938
"San Juan County","Colorado",748
"San Miguel County","Colorado",8105
"Sedgwick County","Colorado",2260
"Summit County","Colorado",30631
"Teller County","Colorado",25529
"Washington County","Colorado",4875
"Weld County","Colorado",333983
"Yuma County","Colorado",10047
"Fairfield County","Connecticut",942426
"Hartford County","Connecticut",889226
"Litchfield County","Connecticut",179610
"Middlesex County","Connecticut",161657
"New Haven County","Connecticut",851948
"New London County","Connecticut",264999
"Tolland County","Connecticut",150600
"Windham County","Connecticut",116540
"Kent County","Delaware",183643
"New Castle County","Delaware",561531
"Sussex County","Delaware",241635
"District of Columbia","District of Columbia",712816
"Alachua County","Florida",271218
"Baker County","Florida",29566
"Bay County","Florida",171322
"Bradford County","Florida",28593
"Brevard County","Florida",608459
"Broward County","Florida",1958105
"Calhoun County","Florida",14078
"Charlotte County","Florida",194711
"Citrus County","Florida",153010
"Clay County","Florida",221770
"Collier County","Florida",392973
"Columbia County","Florida",72654
"DeSoto County","Florida",38520
"Dixie County","Florida",17057
"Duval County","Florida",966728
"Escambia County","Florida",322364
"Flagler County","Florida",118451
"Franklin County","Florida",12201
"Gadsden County","Florida",45277
"Gilchrist County","Florida",18885
"Glades County","Florida",14198
"Gulf County","Florida",13534
"Hamilton County","Florida",14521
"Hardee County","Florida",26822
"Hendry County","Florida",42813
"Hernando County","Florida",198792
"Highlands County","Florida",106639
"Hillsborough County","Florida",1497957
"Holmes County","Florida",19594
"Indian River County","Florida",162518
"Jackson County","Florida",46085
"Jefferson County","Florida",14543
"Lafayette County","Florida",8482
"Lake County","Florida",375492
"Lee County","Florida",790767
"Leon County","Florida",295460
"Levy County","Florida",42214
"Liberty County","Florida",8364
"Madison County","Florida",18707
"Manatee County","Florida",411219
"Marion County","Florida",373513
"Martin County","Florida",162088
"Miami-Dade County","Florida",2707303
"Monroe County","Florida",73900
"Nassau County","Florida",91113
"Okaloosa County","Florida",212820
"Okeechobee County","Florida",42297
"Orange County","Florida",1404396
"Osceola County","Florida",385315
"Palm Beach County","Florida",1507600
"Pasco County","Florida",570412
"Pinellas County","Florida",976802
"Polk County","Florida",744552
"Putnam County","Florida",74815
"St. Johns County","Florida",278715
"St. Lucie County","Florida",337186
"Santa Rosa County","Florida",189139
"Sarasota County","Florida",443465
"Seminole County","Florida",474171
"Sumter County","Florida",139018
"Suwannee County","Florida",44851
"Taylor County","Florida",21600
"Union County","Florida",15182
"Volusia County","Florida",561497
"Wakulla County","Florida",34319
"Walton County","Florida",76648
"Washington County","Florida",25932
"Appling County","Georgia",18325
"Atkinson County","Georgia",8393
"Bacon County","Georgia",11036
"Baker County","Georgia",2971
"Baldwin County","Georgia",45099
"Banks County","Georgia",19352
"Barrow County","Georgia",85588
"Bartow County","Georgia",109426
"Ben Hill County","Georgia",16614
"Berrien County","Georgia",19408
"Bibb County","Georgia",152737
"Bleckley County","Georgia",12955
"Brantley County","Georgia",19202
"Brooks County","Georgia",15357
"Bryan County","Georgia",40755
"Bulloch County","Georgia",80839
"Burke County","Georgia",22648
"Butts County","Georgia",25426
"Calhoun County","Georgia",6231
"Camden County","Georgia",55388
"Candler County","Georgia",10985
"Carroll County","Georgia",121633
"Catoosa County","Georgia",67996
"Charlton County","Georgia",13430
"Chatham County","Georgia",289463
"Chattahoochee County","Georgia",10551
"Chattooga County","Georgia",24843
"Cherokee County","Georgia",265274
"Clarke County","Georgia",127795
"Clay County","Georgia",2866
"Clayton County","Georgia",292646
"Clinch County","Georgia",6582
"Cobb County","Georgia",762944
"Coffee County","Georgia",43218
"Colquitt County","Georgia",45542
"Columbia County","Georgia",160377
"Cook County","Georgia",17291
"Coweta County","Georgia",150849
"Crawford County","Georgia",12231
"Crisp County","Georgia",22034
"Dade County","Georgia",16057
"Dawson County","Georgia",27113
"Decatur County","Georgia",26457
"DeKalb County","Georgia",762009
"Dodge County","Georgia",20452
"Dooly County","Georgia",13174
"Dougherty County","Georgia",86477
"Douglas County","Georgia",147988
"Early County","Georgia",10037
"Echols County","Georgia",4002
"Effingham County","Georgia",65765
"Elbert County","Georgia",19335
"Emanuel County","Georgia",22507
"Evans County","Georgia",10638
"Fannin County","Georgia",26521
"Fayette County","Georgia",115821
"Floyd County","Georgia",98604
"Forsyth County","Georgia",250847
"Franklin County","Georgia",23504
"Fulton County","Georgia",1077402
"Gilmer County","Georgia",31978
"Glascock County","Georgia",2984
"Glynn County","Georgia",85568
"Gordon County","Georgia",58780
"Grady County","Georgia",24491
"Greene County","Georgia",18837
"Gwinnett County","Georgia",942627
"Habersham County","Georgia",46047
"Hall County","Georgia",206591
"Hancock County","Georgia",8494
"Haralson County","Georgia",30383
"Harris County","Georgia",36080
"Hart County","Georgia",26406
"Heard County","Georgia",11973
"Henry County","Georgia",239139
"Houston County","Georgia",160110
"Irwin County","Georgia",9387
"Jackson County","Georgia",76199
"Jasper County","Georgia",14483
"Jeff Davis County","Georgia",15213
"Jefferson County","Georgia",15267
"Jenkins County","Georgia",8746
"Johnson County","Georgia",9667
"Jones County","Georgia",28787
"Lamar County","Georgia",19261
"Lanier County","Georgia",10737
"Laurens County","Georgia",47512
"Lee County","Georgia",30234
"Liberty County","Georgia",63004
"Lincoln County","Georgia",8031
"Long County","Georgia",20171
"Lowndes County","Georgia",118268
"Lumpkin County","Georgia",34186
"McDuffie County","Georgia",21162
"McIntosh County","Georgia",14387
"Macon County","Georgia",12712
"Madison County","Georgia",30457
"Marion County","Georgia",8516
"Meriwether County","Georgia",21164
"Miller County","Georgia",5622
"Mitchell County","Georgia",21602
"Monroe County","Georgia",28042
"Montgomery County","Georgia",9012
"Morgan County","Georgia",19636
"Murray County","Georgia",40032
"Muscogee County","Georgia",196442
"Newton County","Georgia",113295
"Oconee County","Georgia",41124
"Oglethorpe County","Georgia",15383
"Paulding County","Georgia",173359
"Peach County","Georgia",27950
"Pickens County","Georgia",33127
"Pierce County","Georgia",19522
"Pike County","Georgia",19121
"Polk County","Georgia",42840
"Pulaski County","Georgia",11191
"Putnam County","Georgia",22520
"Quitman County","Georgia",2271
"Rabun County","Georgia",17273
"Randolph County","Georgia",6682
"Richmond County","Georgia",202079
"Rockdale County","Georgia",90939
"Schley County","Georgia",5196
"Screven County","Georgia",14012
"Seminole County","Georgia",8060
"Spalding County","Georgia",67414
"Stephens County","Georgia",26107
"Stewart County","Georgia",6689
"Sumter County","Georgia",29282
"Talbot County","Georgia",6143
"Taliaferro County","Georgia",1562
"Tattnall County","Georgia",25365
"Taylor County","Georgia",8074
"Telfair County","Georgia",15781
"Terrell County","Georgia",8523
"Thomas County","Georgia",44372
"Tift County","Georgia",40719
"Toombs County","Georgia",26973
"Towns County","Georgia",12247
"Treutlen County","Georgia",6822
"Troup County","Georgia",70214
"Turner County","Georgia",7882
"Twiggs County","Georgia",8103
"Union County","Georgia",25358
"Upson County","Georgia",26527
"Walker County","Georgia",70116
"Walton County","Georgia",96875
"Ware County","Georgia",35826
"Warren County","Georgia",5232
"Washington County","Georgia",20150
"Wayne County","Georgia",30023
"Webster County","Georgia",2595
"Wheeler County","Georgia",7751
"White County","Georgia",31094
"Whitfield County","Georgia",103837
"Wilcox County","Georgia",8502
"Wilkes County","Georgia",9694
"Wilkinson County","Georgia",8812
"Worth County","Georgia",19972
"Hawaii County","Hawaii",203340
"Honolulu County","Hawaii",963826
"Kalawao County","Hawaii",87
"Kauai County","Hawaii",71851
"Maui County","Hawaii",167902
"Ada County","Idaho",494399
"Adams County","Idaho",4447
"Bannock County","Idaho",88795
"Bear Lake County","Idaho",6143
"Benewah County","Idaho",9430
"Bingham County","Idaho",47202
"Blaine County","Idaho",23426
"Boise County","Idaho",8065
"Bonner County","Idaho",46817
"Bonneville County","Idaho",122134
"Boundary County","Idaho",12656
"Butte County","Idaho",2646
"Camas County","Idaho",1130
"Canyon County","Idaho",237053
"Caribou County","Idaho",7123
"Cassia County","Idaho",24277
"Clark County","Idaho",852
"Clearwater County","Idaho",8846
"Custer County","Idaho",4249
"Elmore County","Idaho",27448
"Franklin County","Idaho",14215
"Fremont County","Idaho",13218
"Gem County","Idaho",18703
"Gooding County","Idaho",15618
"Idaho County","Idaho",16823
"Jefferson County","Idaho",30581
"Jerome County","Idaho",24578
"Kootenai County","Idaho",170628
"Latah County","Idaho",40830
"Lemhi County","Idaho",8054
"Lewis County","Idaho",3838
"Lincoln County","Idaho",5358
"Madison County","Idaho",40318
"Minidoka County","Idaho",21216
"Nez Perce County","Idaho",40755
"Oneida County","Idaho",4520
"Owyhee County","Idaho",12133
"Payette County","Idaho",24771
"Power County","Idaho",7643
"Shoshone County","Idaho",12911
"Teton County","Idaho",12501
"Twin Falls County","Idaho",88411
"Valley County","Idaho",11792
"Washington County","Idaho",10360
"Adams County","Illinois",64783
"Alexander County","Illinois",5497
"Bond County","Illinois",16262
"Boone County","Illinois",52777
"Brown County","Illinois",6546
"Bureau County","Illinois",32303
"Calhoun County","Illinois",4616
"Carroll County","Illinois",14241
"Cass County","Illinois",11925
"Champaign County","Illinois",209192
"Christian County","Illinois",32075
"Clark County","Illinois",15268
"Clay County","Illinois",13079
"Clinton County","Illinois",37398
"Coles County","Illinois",50383
"Cook County","Illinois",5108284
"Crawford County","Illinois",18512
"Cumberland County","Illinois",10649
"DeKalb County","Illinois",104491
"De Witt County","Illinois",15368
"Douglas County","Illinois",19510
"DuPage County","Illinois",917481
"Edgar County","Illinois",16858
"Edwards County","Illinois",6356
"Effingham County","Illinois",34065
"Fayette County","Illinois",21264
"Ford County","Illinois",12949
"Franklin County","Illinois",38060
"Fulton County","Illinois",33690
"Gallatin County","Illinois",4793
"Greene County","Illinois",12702
"Grundy County","Illinois",50993
"Hamilton County","Illinois",8084
"Hancock County","Illinois",17422
"Hardin County","Illinois",3808
"Henderson County","Illinois",6535
"Henry County","Illinois",48411
"Iroquois County","Illinois",26711
"Jackson County","Illinois",56675
"Jasper County","Illinois",9465
"Jefferson County","Illinois",37235
"Jersey County","Illinois",21616
"Jo Daviess County","Illinois",21239
"Johnson County","Illinois",12358
"Kane County","Illinois",531010
"Kankakee County","Illinois",108594
"Kendall County","Illinois",130638
"Knox County","Illinois",49053
"Lake County","Illinois",693593
"LaSalle County","Illinois",107571
"Lawrence County","Illinois",15467
"Lee County","Illinois",33647
"Livingston County","Illinois",35414
"Logan County","Illinois",28383
"McDonough County","Illinois",29295
"McHenry County","Illinois",305888
"McLean County","Illinois",171256
"Macon County","Illinois",103015
"Macoupin County","Illinois",44567
"Madison County","Illinois",262635
"Marion County","Illinois",37045
"Marshall County","Illinois",11309
"Mason County","Illinois",13173
"Massac County","Illinois",13636
"Menard County","Illinois",12068
"Mercer County","Illinois",15225
"Monroe County","Illinois",34739
"Montgomery County","Illinois",28045
"Morgan County","Illinois",33400
"Moultrie County","Illinois",14347
"Ogle County","Illinois",50306
"Peoria County","Illinois",177652
"Perry County","Illinois",20664
"Piatt County","Illinois",16355
"Pike County","Illinois",15239
"Pope County","Illinois",4142
"Pulaski County","Illinois",5201
"Putnam County","Illinois",5716
"Randolph County","Illinois",31351
"Richland County","Illinois",15507
"Rock Island County","Illinois",140907
"St. Clair County","Illinois",258046
"Saline County","Illinois",23182
"Sangamon County","Illinois",193882
"Schuyler County","Illinois",6738
"Scott County","Illinois",4950
"Shelby County","Illinois",21299
"Stark County","Illinois",5262
"Stephenson County","Illinois",43831
"Tazewell County","Illinois",130777
"Union County","Illinois",16498
"Vermilion County","Illinois",74855
"Wabash County","Illinois",11190
"Warren County","Illinois",16696
"Washington County","Illinois",13764
"Wayne County","Illinois",16031
"White County","Illinois",13364
"Whiteside County","Illinois",54656
"Will County","Illinois",688726
"Williamson County","Illinois",66415
"Winnebago County","Illinois",281295
"Woodford County","Illinois",38091
"Adams County","Indiana",35839
"Allen County","Indiana",382187
"Bartholomew County","Indiana",84447
"Benton County","Indiana",8741
"Blackford County","Indiana",11782
"Boone County","Indiana",69347
"Brown County","Indiana",15112
"Carroll County","Indiana",20228
"Cass County","Indiana",37388
"Clark County","Indiana",119266
"Clay County","Indiana",26246
"Clinton County","Indiana",32206
"Crawford County","Indiana",10629
"Daviess County","Indiana",33505
"Dearborn County","Indiana",49824
"Decatur County","Indiana",26584
"DeKalb County","Indiana",43670
"Delaware County","Indiana",113454
"Dubois County","Indiana",42542
"Elkhart County","Indiana",206161
"Fayette County","Indiana",22892
"Floyd County","Indiana",78936
"Fountain County","Indiana",16511
"Franklin County","Indiana",22761
"Fulton County","Indiana",20018
"Gibson County","Indiana",33825
"Grant County","Indiana",65225
"Greene County","Indiana",32203
"Hamilton County","Indiana",344238
"Hancock County","Indiana",79553
"Harrison County","Indiana",40682
"Hendricks County","Indiana",173251
"Henry County","Indiana",48033
"Howard County","Indiana",82732
"Huntington County","Indiana",36395
"Jackson County","Indiana",44222
"Jasper County","Indiana",33440
"Jay County","Indiana",20416
"Jefferson County","Indiana",32110
"Jennings County","Indiana",27515
"Johnson County","Indiana",160607
"Knox County","Indiana",36522
"Kosciusko County","Indiana",78988
"LaGrange County","Indiana",40119
"Lake County","Indiana",487536
"LaPorte County","Indiana",109663
"Lawrence County","Indiana",45496
"Madison County","Indiana",129681
"Marion County","Indiana",966183
"Marshall County","Indiana",46108
"Martin County","Indiana",10079
"Miami County","Indiana",35328
"Monroe County","Indiana",148219
"Montgomery County","Indiana",38365
"Morgan County","Indiana",70707
"Newton County","Indiana",13907
"Noble County","Indiana",47832
"Ohio County","Indiana",5892
"Orange County","Indiana",19651
"Owen County","Indiana",20833
"Parke County","Indiana",16871
"Perry County","Indiana",19154
"Pike County","Indiana",12378
"Porter County","Indiana",170980
"Posey County","Indiana",25275
"Pulaski County","Indiana",12388
"Putnam County","Indiana",37469
"Randolph County","Indiana",24191
"Ripley County","Indiana",28448
"Rush County","Indiana",16649
"St. Joseph County","Indiana",271484
"Scott County","Indiana",23788
"Shelby County","Indiana",44871
"Spencer County","Indiana",20225
"Starke County","Indiana",23049
"Steuben County","Indiana",34831
"Sullivan County","Indiana",20578
"Switzerland County","Indiana",10724
"Tippecanoe County","Indiana",196115
"Tipton County","Indiana",15227
"Union County","Indiana",7119
"Vanderburgh County","Indiana",182447
"Vermillion County","Indiana",15329
"Vigo County","Indiana",106608
"Wabash County","Indiana",30784
"Warren County","Indiana",8194
"Warrick County","Indiana",63269
"Washington County","Indiana",28213
"Wayne County","Indiana",65778
"Wells County","Indiana",28142
"White County","Indiana",24165
"Whitley County","Indiana",34378
"Adair County","Iowa",7059
"Adams County","Iowa",3588
"Allamakee County","Iowa",13642
"Appanoose County","Iowa",12430
"Audubon County","Iowa",5481
"Benton County","Iowa",25414
"Black Hawk County","Iowa",130786
"Boone County","Iowa",26277
"Bremer County","Iowa",25311
"Buchanan County","Iowa",21287
"Buena Vista County","Iowa",19772
"Butler County","Iowa",14333
"Calhoun County","Iowa",9473
"Carroll County","Iowa",19914
"Cass County","Iowa",12817
"Cedar County","Iowa",18485
"Cerro Gordo County","Iowa",42103
"Cherokee County","Iowa",11190
"Chickasaw County","Iowa",11834
"Clarke County","Iowa",9353
"Clay County","Iowa",15976
"Clayton County","Iowa",17321
"Clinton County","Iowa",46392
"Crawford County","Iowa",16834
"Dallas County","Iowa",96963
"Davis County","Iowa",9051
"Decatur County","Iowa",7769
"Delaware County","Iowa",16937
"Des Moines County","Iowa",38708
"Dickinson County","Iowa",17549
"Dubuque County","Iowa",97590
"Emmet County","Iowa",9095
"Fayette County","Iowa",19258
"Floyd County","Iowa",15480
"Franklin County","Iowa",9971
"Fremont County","Iowa",6729
"Greene County","Iowa",8795
"Grundy County","Iowa",12217
"Guthrie County","Iowa",10737
"Hamilton County","Iowa",14716
"Hancock County","Iowa",10507
"Hardin County","Iowa",16575
"Harrison County","Iowa",13928
"Henry County","Iowa",19697
"Howard County","Iowa",9176
"Humboldt County","Iowa",9473
"Ida County","Iowa",6833
"Iowa County","Iowa",16138
"Jackson County","Iowa",19205
"Jasper County","Iowa",37148
"Jefferson County","Iowa",18347
"Johnson County","Iowa",153740
"Jones County","Iowa",20617
"Keokuk County","Iowa",10085
"Kossuth County","Iowa",14680
"Lee County","Iowa",33480
"Linn County","Iowa",227854
"Louisa County","Iowa",11011
"Lucas County","Iowa",8518
"Lyon County","Iowa",11756
"Madison County","Iowa",16521
"Mahaska County","Iowa",22370
"Marion County","Iowa",33168
"Marshall County","Iowa",39495
"Mills County","Iowa",14766
"Mitchell County","Iowa",10647
"Monona County","Iowa",8598
"Monroe County","Iowa",7770
"Montgomery County","Iowa",9935
"Muscatine County","Iowa",42394
"O'Brien County","Iowa",13679
"Osceola County","Iowa",5987
"Page County","Iowa",15073
"Palo Alto County","Iowa",8845
"Plymouth County","Iowa",25219
"Pocahontas County","Iowa",6607
"Polk County","Iowa",494281
"Pottawattamie County","Iowa",93328
"Poweshiek County","Iowa",18381
"Ringgold County","Iowa",4801
"Sac County","Iowa",9603
"Scott County","Iowa",173216
"Shelby County","Iowa",11430
"Sioux County","Iowa",35043
"Story County","Iowa",98237
"Tama County","Iowa",16801
"Taylor County","Iowa",6092
"Union County","Iowa",12157
"Van Buren County","Iowa",7069
"Wapello County","Iowa",34985
"Warren County","Iowa",52265
"Washington County","Iowa",21992
"Wayne County","Iowa",6415
"Webster County","Iowa",35934
"Winnebago County","Iowa",10277
"Winneshiek County","Iowa",19862
"Woodbury County","Iowa",103138
"Worth County","Iowa",7359
"Wright County","Iowa",12416
"Allen County","Kansas",12399
"Anderson County","Kansas",7949
"Atchison County","Kansas",16015
"Barber County","Kansas",4358
"Barton County","Kansas",25658
"Bourbon County","Kansas",14435
"Brown County","Kansas",9482
"Butler County","Kansas",66992
"Chase County","Kansas",2586
"Chautauqua County","Kansas",3230
"Cherokee County","Kansas",19681
"Cheyenne County","Kansas",2600
"Clark County","Kansas",1963
"Clay County","Kansas",8025
"Cloud County","Kansas",8642
"Coffey County","Kansas",8158
"Comanche County","Kansas",1690
"Cowley County","Kansas",34628
"Crawford County","Kansas",38730
"Decatur County","Kansas",2776
"Dickinson County","Kansas",18266
"Doniphan County","Kansas",7496
"Douglas County","Kansas",122530
"Edwards County","Kansas",2750
"Elk County","Kansas",2507
"Ellis County","Kansas",28671
"Ellsworth County","Kansas",6034
"Finney County","Kansas",35917
"Ford County","Kansas",33094
"Franklin County","Kansas",25703
"Geary County","Kansas",32218
"Gove County","Kansas",2621
"Graham County","Kansas",2389
"Grant County","Kansas",7077
"Gray County","Kansas",5954
"Greeley County","Kansas",1196
"Greenwood County","Kansas",5868
"Hamilton County","Kansas",2425
"Harper County","Kansas",5336
"Harvey County","Kansas",34291
"Haskell County","Kansas",3923
